escenario,parametro_modificado,cambio_relativo,n_iteraciones,media_yes_usada,media_no_usada,sd_yes_usada,sd_no_usada,proporcion_yes_usada,media_delta_individual_yes_no,probabilidad_delta_individual_mayor_0,sensibilidad_umbral_60,especificidad_umbral_60,vpp_umbral_60,proporcion_alertas_umbral_60,variacion_media_delta_vs_base,variacion_vpp_umbral_60_vs_base
Base,Sin modificación,0.0,100000,68.80001940931,46.51062505804774,19.03740879133072,18.489475795722328,0.22418121848473554,21.860308453336167,0.79858,0.6799482996835584,0.7654293928806261,0.45608370702541107,0.3345,0.0,0.0
Media Yes +5%,media_humidity3pm_yes,0.05,100000,72.2400203797755,46.51062505804774,19.03740879133072,18.489475795722328,0.22418121848473554,25.01605702839716,0.83155,0.7450989168382419,0.762883411882871,0.47480106100795755,0.35061,3.1557485750609935,0.01871735398254648
Media Yes -5%,media_humidity3pm_yes,-0.05,100000,65.36001843884449,46.51062505804774,19.03740879133072,18.489475795722328,0.22418121848473554,18.601474188135125,0.76203,0.6037609433625156,0.766904602381075,0.42764490002531,0.31608,-3.258834265201042,-0.02843880700010104
Media No +5%,media_humidity3pm_no,0.05,100000,68.80001940931,48.83615631095012,19.03740879133072,18.489475795722328,0.22418121848473554,19.427172566743735,0.77116,0.6743967408335945,0.7278498126520995,0.4161325966850829,0.362,-2.4331358865924315,-0.039951110340328166
Media No -5%,media_humidity3pm_no,-0.05,100000,68.80001940931,44.18509380514535,19.03740879133072,18.489475795722328,0.22418121848473554,24.16547446073477,0.82289,0.6787058612654597,0.8033443180062818,0.49784702363343525,0.30423,2.3051660073986042,0.04176331660802418
SD Yes +5%,sd_humidity3pm_yes,0.05,100000,68.80001940931,46.51062505804774,19.989279230897257,18.489475795722328,0.22418121848473554,21.839302570526023,0.7953,0.6710979595442099,0.7667726673388661,0.457171224839787,0.33237,-0.021005882810143817,0.0010875178143759379
SD Yes -5%,sd_humidity3pm_yes,-0.05,100000,68.80001940931,46.51062505804774,18.085538351764182,18.489475795722328,0.22418121848473554,21.961068051896603,0.80522,0.6835601159937542,0.7682155055745311,0.46005104338687886,0.33305,0.10075959856043681,0.003967336361467788
Proporción Yes +5%,proporcion_raintomorrow_yes,0.05,100000,68.80001940931,46.51062505804774,19.03740879133072,18.489475795722328,0.23539027940897234,21.82118961769503,0.79921,0.673285428802245,0.7673801336279599,0.4709153631118777,0.33626,-0.03911883564113694,0.014831656086466638
Proporción Yes -5%,proporcion_raintomorrow_yes,-0.05,100000,68.80001940931,46.51062505804774,19.03740879133072,18.489475795722328,0.21297215756049875,21.853537003927798,0.79992,0.6727426477496946,0.7646670223848362,0.4360004871513823,0.32844,-0.006771449408368824,-0.02008321987402878
