localidad_excluida,diferencia_media_yes_no_sin_localidad,variacion_respecto_original,n_restante
AliceSprings,21.734587409732413,-0.5548069415298471,135557
Woomera,21.884422832907298,-0.40497151835496226,135619
Cobar,22.00997043045163,-0.27942392081062906,135710
Hobart,22.548127548275986,0.25873319701372566,135408
Uluru,22.03293045892694,-0.25646389233531863,137063
Moree,22.06403689799817,-0.2253574532640883,135734
Mildura,22.069326187351386,-0.2200681639108737,135580
Melbourne,22.50656010440693,0.2171657531446698,136155
Albany,22.505927205186218,0.21653285392395816,136267
Sale,22.496311488444675,0.20691713718241544,135598
Wollongong,22.43214853887241,0.14275418761015146,135618
MelbourneAirport,22.422964336632006,0.1335699853697463,135583
NorfolkIsland,22.42251599609402,0.13312164483176048,135621
Townsville,22.418081606680786,0.12868725541852655,135550
Watsonia,22.410366999769536,0.1209726485072764,135584
Sydney,22.406152894830015,0.11675854356775517,135259
Portland,22.39921723925289,0.10982288799063156,135600
NorahHead,22.394465916133775,0.10507156487151548,135668
Cairns,22.390974194779133,0.10157984351687332,135595
Penrith,22.190280537916784,-0.09911381334547542,135677
Richmond,22.192119568593043,-0.09727478266921707,135678
Walpole,22.386167035142073,0.09677268387981286,135798
MountGinini,22.19631598272325,-0.09307836853901108,135926
WaggaWagga,22.199231126900017,-0.090163224362243,135607
Witchcliffe,22.37471078066291,0.08531642940064899,135864
Newcastle,22.37332578499523,0.08393143373297107,136493
PearceRAAF,22.206679830118254,-0.08271452114400546,135845
GoldCoast,22.368969806311632,0.07957545504937258,135613
Nuriootpa,22.211462055718265,-0.07793229554399517,135594
Darwin,22.211913053498662,-0.07748129776359747,135393
MountGambier,22.366762958519537,0.07736860725727723,135563
Williamtown,22.365370834264176,0.0759764830019165,136037
CoffsHarbour,22.356301072128268,0.06690672086600813,135642
Brisbane,22.35203938609267,0.0626450348304104,135431
PerthAirport,22.22694778154186,-0.06244656972040019,135575
Ballarat,22.229843664354966,-0.05955068690729348,135561
Launceston,22.347920990041217,0.05852663877895736,135562
SydneyAirport,22.339932608561725,0.05053825729946482,135582
BadgerysCreek,22.24643627857757,-0.04295807268469076,135686
Adelaide,22.33139616602176,0.0420018147595016,135498
Bendigo,22.251892293995176,-0.037502057267083444,135550
SalmonGums,22.257015995487123,-0.032378355775136924,135631
Nhil,22.25827297735077,-0.03112137391148906,137014
Katherine,22.259017935187217,-0.030376416075043267,137846
Canberra,22.313652875827813,0.02425852456555333,135177
Albury,22.265640170585833,-0.023754180676426984,135576
Perth,22.306956051354213,0.017561700091953014,135398
Tuggeranong,22.303495559533914,0.014101208271654286,135596
Dartmoor,22.302055706367888,0.012661355105628047,135802
