escenario,parametro_modificado,cambio_relativo,n_iteraciones,semilla,media_yes_usada_regenerado_S3,media_no_usada_regenerado_S3,sd_yes_usada_regenerado_S3,sd_no_usada_regenerado_S3,proporcion_yes_usada_regenerado_S3,n_objetivo_valido_para_prevalencia,n_humidity_observada_yes,n_humidity_observada_no,fuente_prevalencia,media_delta_individual_yes_no_regenerado_S3,probabilidad_delta_individual_mayor_0,sensibilidad_umbral_60_regenerado_S3,especificidad_umbral_60_regenerado_S3,vpp_umbral_60_regenerado_S3,vpn_umbral_60,proporcion_alertas_umbral_60_regenerado_S3,eventos_lluvia_esperados_por_1000,alertas_esperadas_por_1000,verdaderos_positivos_esperados_por_1000,falsos_positivos_esperados_por_1000,eventos_no_detectados_esperados_por_1000,n_carteras_simuladas,tamano_cartera,vpp_cartera_media,vpp_cartera_ic_empirico_95_li,vpp_cartera_ic_empirico_95_ls,sensibilidad_cartera_media,sensibilidad_cartera_ic_empirico_95_li,sensibilidad_cartera_ic_empirico_95_ls,variacion_media_delta_vs_base,variacion_vpp_umbral_60_vs_base,media_yes_usada_archivo_S2,media_no_usada_archivo_S2,sd_yes_usada_archivo_S2,sd_no_usada_archivo_S2,proporcion_yes_usada_archivo_S2,media_delta_individual_yes_no_archivo_S2,sensibilidad_umbral_60_archivo_S2,especificidad_umbral_60_archivo_S2,vpp_umbral_60_archivo_S2,proporcion_alertas_umbral_60_archivo_S2,diferencia_absoluta_media_yes_usada,diferencia_absoluta_media_no_usada,diferencia_absoluta_sd_yes_usada,diferencia_absoluta_sd_no_usada,diferencia_absoluta_proporcion_yes_usada,diferencia_absoluta_media_delta_individual_yes_no,diferencia_absoluta_sensibilidad_umbral_60,diferencia_absoluta_especificidad_umbral_60,diferencia_absoluta_vpp_umbral_60,diferencia_absoluta_proporcion_alertas_umbral_60,consistencia_parametros_S1_S2,consistencia_resultados_simulados,consistencia_numerica
Base,Sin modificación,0.0,100000,5012803,68.80001940931,46.51062505804774,19.03740879133072,18.489475795722328,0.22418121848473554,142193,30913,107670,S1: todas las observaciones con RainTomorrow válido,21.783046700508493,0.799,0.6766573420363217,0.7658591360239548,0.45653085680047933,0.8906934854398079,0.3338,225.20999999999998,333.8,152.39,181.41,72.82,10000,1000,0.45670807726710994,0.40384615384615385,0.5090922949002217,0.676589208082563,0.6153846153846154,0.7368421052631579,0.0,0.0,68.80001940931,46.51062505804774,19.03740879133072,18.489475795722328,0.2241812184847355,21.860308453336167,0.6799482996835584,0.7654293928806261,0.456083707025411,0.3345,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.077261752827674,0.0032909576472367474,0.0004297431433287757,0.0004471497750683229,0.0007000000000000339,True,True,True
Media Yes +5%,media_humidity3pm_yes,0.05,100000,5012803,72.2400203797755,46.51062505804774,19.03740879133072,18.489475795722328,0.22418121848473554,142193,30913,107670,S1: todas las observaciones con RainTomorrow válido,25.014024783414555,0.83332,0.7400648283823986,0.7658591360239548,0.4788267065042519,0.9102037059761934,0.34808,225.20999999999998,348.08,166.67,181.41,58.54,10000,1000,0.4785226972895689,0.4251459580838324,0.5306150952000912,0.7402427922421905,0.6808485665767655,0.7978750268643885,3.230978082906063,0.022295849703772574,72.2400203797755,46.51062505804774,19.03740879133072,18.489475795722328,0.2241812184847355,25.01605702839716,0.7450989168382419,0.762883411882871,0.4748010610079575,0.35061,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0020322449826046807,0.0050340884558433,0.002975724141083824,0.004025645496294417,0.0025299999999999767,True,True,True
Media Yes -5%,media_humidity3pm_yes,-0.05,100000,5012803,65.36001843884449,46.51062505804774,19.03740879133072,18.489475795722328,0.22418121848473554,142193,30913,107670,S1: todas las observaciones con RainTomorrow válido,18.487786994460848,0.7613,0.6120509746458861,0.7658591360239548,0.4317619420516836,0.8716562614763129,0.31925,225.20999999999998,319.25,137.84,181.41,87.37,10000,1000,0.43156655838803537,0.37539407910701283,0.48623853211009177,0.6121712462105765,0.5477381721887445,0.6761904761904762,-3.295259706047645,-0.024768914748795723,65.36001843884449,46.51062505804774,19.03740879133072,18.489475795722328,0.2241812184847355,18.601474188135125,0.6037609433625156,0.766904602381075,0.42764490002531,0.31608,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.11368719367427715,0.00829003128337047,0.0010454663571202172,0.004117042026373585,0.0031699999999999506,True,True,True
Media No +5%,media_humidity3pm_no,0.05,100000,5012803,68.80001940931,48.83615631095012,19.03740879133072,18.489475795722328,0.22418121848473554,142193,30913,107670,S1: todas las observaciones con RainTomorrow válido,19.47479834987385,0.77376,0.6766573420363217,0.7259902683307735,0.4178617455921467,0.8853787914561395,0.36469,225.20999999999998,364.69,152.39,212.3,72.82,10000,1000,0.417883187775036,0.36826913590686794,0.4684951076320939,0.6764316559127538,0.6153846153846154,0.737971097529921,-2.308248350634642,-0.03866911120833261,68.80001940931,48.83615631095012,19.03740879133072,18.489475795722328,0.2241812184847355,19.42717256674373,0.6743967408335945,0.7278498126520995,0.4161325966850829,0.362,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.047625783130119004,0.002260601202727197,0.0018595443213259566,0.0017291489070638266,0.0026900000000000257,True,True,True
Media No -5%,media_humidity3pm_no,-0.05,100000,5012803,68.80001940931,44.18509380514535,19.03740879133072,18.489475795722328,0.22418121848473554,142193,30913,107670,S1: todas las observaciones con RainTomorrow válido,24.08765870624285,0.82304,0.6766573420363217,0.8021786548613172,0.4985604920499902,0.8951234265633551,0.30566,225.20999999999998,305.65999999999997,152.39,153.27,72.82,10000,1000,0.49872947137552764,0.4418587296077751,0.5555555555555556,0.6768681675195779,0.6141060639149742,0.7352941176470589,2.3046120057343558,0.042029635249510866,68.80001940931,44.18509380514535,19.03740879133072,18.489475795722328,0.2241812184847355,24.16547446073477,0.6787058612654597,0.8033443180062818,0.4978470236334352,0.30423,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.07781575449192246,0.0020485192291380683,0.0011656631449645793,0.0007134684165550076,0.0014299999999999868,True,True,True
SD Yes +5%,sd_humidity3pm_yes,0.05,100000,5012803,68.80001940931,46.51062505804774,19.989279230897257,18.489475795722328,0.22418121848473554,142193,30913,107670,S1: todas las observaciones con RainTomorrow válido,21.675908796582295,0.79283,0.6684427867323831,0.7658591360239548,0.4535020334387709,0.8882269291220717,0.33195,225.20999999999998,331.95000000000005,150.54,181.41,74.67,10000,1000,0.45376752195165265,0.4006111670704816,0.5070422535211268,0.6687895301280646,0.6066350710900474,0.7300884955752213,-0.10713790392619771,-0.003028823361708455,68.80001940931,46.51062505804774,19.989279230897257,18.489475795722328,0.2241812184847355,21.839302570526023,0.6710979595442099,0.7667726673388661,0.457171224839787,0.33237,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.1633937739437279,0.0026551728118268114,0.0009135313149112312,0.0036691914010161253,0.00041999999999997595,True,True,True
SD Yes -5%,sd_humidity3pm_yes,-0.05,100000,5012803,68.80001940931,46.51062505804774,18.085538351764182,18.489475795722328,0.22418121848473554,142193,30913,107670,S1: todas las observaciones con RainTomorrow válido,21.877274878532848,0.80499,0.6861595843879046,0.7658591360239548,0.45999285586711913,0.8935638345932596,0.33594,225.20999999999998,335.94,154.53,181.41,70.68,10000,1000,0.46041390070114213,0.40666566265060244,0.5134328358208955,0.6864709277481066,0.6234296038689344,0.7487928429150353,0.09422817802435546,0.003461999066639798,68.80001940931,46.51062505804774,18.085538351764185,18.489475795722328,0.2241812184847355,21.961068051896603,0.6835601159937542,0.7682155055745311,0.4600510433868788,0.33305,0.0,0.0,3.552713678800501e-15,0.0,5.551115123125783e-17,0.08379317336375536,0.0025994683941503727,0.002356369550576276,5.818751975966707e-05,0.0028900000000000037,True,True,True
Proporción Yes +5%,proporcion_raintomorrow_yes,0.05,100000,5012803,68.80001940931,46.51062505804774,19.03740879133072,18.489475795722328,0.23539027940897234,142193,30913,107670,S1: todas las observaciones con RainTomorrow válido,21.783046700508493,0.799,0.6768418830483428,0.7657996462032366,0.47283506370929684,0.8841987412248851,0.33904,236.85,339.04,160.31,178.73,76.54,10000,1000,0.47316064209042524,0.42058823529411765,0.5256410256410257,0.6769522055947369,0.6163265306122448,0.7352941176470589,0.0,0.01630420690881751,68.80001940931,46.51062505804774,19.03740879133072,18.489475795722328,0.2353902794089723,21.82118961769503,0.673285428802245,0.7673801336279599,0.4709153631118777,0.33626,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.03814291718653706,0.003556454246097851,0.0015804874247232759,0.0019197005974191383,0.0027800000000000047,True,True,True
Proporción Yes -5%,proporcion_raintomorrow_yes,-0.05,100000,5012803,68.80001940931,46.51062505804774,19.03740879133072,18.489475795722328,0.21297215756049875,142193,30913,107670,S1: todas las observaciones con RainTomorrow válido,21.783046700508493,0.799,0.6766906743990272,0.7656134727416113,0.43984071011673154,0.8969808059132094,0.32896,213.82000000000002,328.96,144.69,184.27,69.13,10000,1000,0.43967970110692794,0.38719266325727775,0.49271137026239065,0.6769027001178423,0.6150228873239436,0.7399147586969834,0.0,-0.016690146683747797,68.80001940931,46.51062505804774,19.03740879133072,18.489475795722328,0.2129721575604987,21.8535370039278,0.6727426477496946,0.7646670223848362,0.4360004871513823,0.32844,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.07049030341930873,0.003948026649332581,0.000946450356775097,0.0038402229653492492,0.0005199999999999649,True,True,True
