variable_imputada,variable_en_matriz_S1,n_predictores,todos_predictores_en_matriz_S1,predictores,fuente_exclusiva_seleccion,cumple_trazabilidad_S1
MinTemp,True,5,True,"Temp9am, MaxTemp, Pressure3pm, Humidity9am, WindGustSpeed",Matriz de correlaciones entregada en S1,True
MaxTemp,True,4,True,"Temp3pm, MinTemp, Humidity3pm, Pressure3pm",Matriz de correlaciones entregada en S1,True
Rainfall,True,5,True,"Humidity3pm, Humidity9am, Pressure9am, WindGustSpeed, MaxTemp",Matriz de correlaciones entregada en S1,True
WindGustSpeed,True,5,True,"Pressure9am, Humidity9am, MinTemp, Temp9am, Rainfall",Matriz de correlaciones entregada en S1,True
Humidity9am,True,5,True,"Humidity3pm, MaxTemp, MinTemp, Pressure3pm, Rainfall",Matriz de correlaciones entregada en S1,True
Humidity3pm,True,4,True,"Humidity9am, Temp3pm, Rainfall, Pressure3pm",Matriz de correlaciones entregada en S1,True
Pressure9am,True,5,True,"Pressure3pm, WindGustSpeed, MinTemp, Humidity9am, Rainfall",Matriz de correlaciones entregada en S1,True
Pressure3pm,True,5,True,"Pressure9am, WindGustSpeed, MinTemp, Humidity9am, Rainfall",Matriz de correlaciones entregada en S1,True
Temp9am,True,5,True,"MinTemp, MaxTemp, Humidity9am, Pressure3pm, Rainfall",Matriz de correlaciones entregada en S1,True
Temp3pm,True,4,True,"MaxTemp, MinTemp, Humidity3pm, Pressure3pm",Matriz de correlaciones entregada en S1,True
