escenario_ponderacion,peso_retencion,peso_distribucion,peso_correlacion,estrategia,puntaje_decision,seleccionada
principal_40_30_30,0.4,0.3,0.3,imputacion_regresion,1.0,True
principal_40_30_30,0.4,0.3,0.3,imputacion_simple,2.1999999999999997,False
principal_40_30_30,0.4,0.3,0.3,casos_completos,2.4000000000000004,False
equilibrada_tercios,0.3333333333333333,0.3333333333333333,0.3333333333333333,imputacion_regresion,1.0,True
equilibrada_tercios,0.3333333333333333,0.3333333333333333,0.3333333333333333,casos_completos,2.333333333333333,False
equilibrada_tercios,0.3333333333333333,0.3333333333333333,0.3333333333333333,imputacion_simple,2.333333333333333,False
prioriza_retencion_50_25_25,0.5,0.25,0.25,imputacion_regresion,1.0,True
prioriza_retencion_50_25_25,0.5,0.25,0.25,imputacion_simple,2.0,False
prioriza_retencion_50_25_25,0.5,0.25,0.25,casos_completos,2.5,False
prioriza_preservacion_25_375_375,0.25,0.375,0.375,imputacion_regresion,1.0,True
prioriza_preservacion_25_375_375,0.25,0.375,0.375,casos_completos,2.25,False
prioriza_preservacion_25_375_375,0.25,0.375,0.375,imputacion_simple,2.5,False
