fold,estimador_predictivo,n,threshold,TN,FP,FN,TP,accuracy,balanced_accuracy,precision,recall,F1,ROC_AUC,PR_AUC,Brier,configuracion
1,LogisticRegression sin penalizacion; class_weight=None,19907,0.5,14662,782,2353,2110,0.8425177073391269,0.7110708044496976,0.7295988934993084,0.47277615953394575,0.5737593473827328,0.8514349879463033,0.6779959197379057,0.11560449913899834,sin_ponderacion
2,LogisticRegression sin penalizacion; class_weight=None,19907,0.5,14677,767,2302,2161,0.8458331240267243,0.7172700754652357,0.7380464480874317,0.484203450593771,0.5847652550399134,0.8534642633903222,0.6894483991682481,0.1136763603294343,sin_ponderacion
3,LogisticRegression sin penalizacion; class_weight=None,19907,0.5,14634,810,2243,2220,0.8466368614055357,0.7224878527253611,0.7326732673267327,0.4974232578982747,0.5925530495128787,0.8603673631121536,0.6878171531038082,0.11231154358855344,sin_ponderacion
4,LogisticRegression sin penalizacion; class_weight=None,19907,0.5,14605,839,2349,2114,0.8398553272718139,0.7096735566654904,0.7158821537419573,0.473672417656285,0.5701186623516721,0.8497722910113679,0.674704528444461,0.11665087282340719,sin_ponderacion
5,LogisticRegression sin penalizacion; class_weight=None,19907,0.5,14614,831,2373,2089,0.8390515898930024,0.7071859429774888,0.7154109589041096,0.46817570596145225,0.5659712814955297,0.85167860421713,0.6746619115948751,0.11598436679677918,sin_ponderacion
1,LogisticRegression sin penalizacion; class_weight=balanced,19907,0.5,12321,3123,1167,3296,0.7844979153061737,0.7681511202965381,0.5134756192553357,0.7385166928075285,0.6057709979783128,0.8512337012785143,0.6756387099183093,0.15230781112067857,balanceada
2,LogisticRegression sin penalizacion; class_weight=balanced,19907,0.5,12369,3075,1173,3290,0.7866077259255538,0.7690329282587853,0.5168892380204242,0.7371723056240197,0.6076837827853713,0.8538990884386359,0.6888645376118012,0.1504031070437453,balanceada
3,LogisticRegression sin penalizacion; class_weight=balanced,19907,0.5,12330,3114,1068,3395,0.7899231426131511,0.7795336898518614,0.5215854970041481,0.7606990813354246,0.6188479766678818,0.8606486479553923,0.6861797324378125,0.14977613954928953,balanceada
4,LogisticRegression sin penalizacion; class_weight=balanced,19907,0.5,12344,3100,1187,3276,0.7846486160647008,0.7666551007353158,0.513801756587202,0.7340354021958324,0.604483808469416,0.8500871333047,0.6731443541978807,0.15280814995715877,balanceada
5,LogisticRegression sin penalizacion; class_weight=balanced,19907,0.5,12259,3186,1145,3317,0.7824383382729693,0.7685541326715769,0.5100722743349223,0.7433886149708651,0.605015959872321,0.8518526432117901,0.6732260904742483,0.15276326360233486,balanceada
