termino,beta,SE_convencional,p_convencional,IC95_convencional_li,IC95_convencional_ls,SE_robusto_cluster_Location,p_robusto_cluster_Location,IC95_cluster_li,IC95_cluster_ls,razon_SE_cluster_convencional,cambia_conclusion_IC_incluye_cero
const,-2.111504644505918,0.02534424926401459,0.0,-2.161178460278592,-2.061830828733244,0.08651301729436203,1.448801917378678e-131,-2.2810670425967583,-1.9419422464150775,3.4135166677514817,False
Humidity3pm,1.1285225000425947,0.015345988421001433,0.0,1.0984449154302631,1.1586000846549263,0.059970647350459365,5.386354606508398e-79,1.0109821911061418,1.2460628089790475,3.9079038576875105,False
Rainfall_log1p,0.42236743741242044,0.01794642634122809,1.7921812805931865e-122,0.38719308813241243,0.45754178669242845,0.050800184913845754,9.230368083895977e-17,0.3228009045733078,0.5219339702515331,2.8306574215916824,False
Pressure3pm,-0.5142230185264556,0.011554314926570554,0.0,-0.5368690596485675,-0.49157697740434375,0.057792146563100194,5.696404466800246e-19,-0.6274935443793922,-0.40095249267351896,5.001780454347848,False
MaxTemp,0.11516864906060886,0.014282667534117386,7.41252630791221e-16,0.08717513509057928,0.14316216303063845,0.07297904224262822,0.11454130843793658,-0.027867645361169646,0.2582049434823874,5.109622699562336,True
WindGustSpeed,0.49926158302392776,0.012508367013338975,0.0,0.47474563417237453,0.523777531875481,0.037143164999493376,3.451467157217083e-41,0.42646231735309204,0.5720608486947635,2.9694655553265865,False
Humidity9am,0.12248546765419277,0.015083589182467138,4.644745650681391e-16,0.09292217609895922,0.15204875920942632,0.05290026057834769,0.020590840359943182,0.018802862147847293,0.22616807316053825,3.50714010693409,False
Season_Autumn,0.4291222702142808,0.02860302155530303,7.050286086330477e-51,0.373061378116864,0.48518316231169756,0.09583240281484763,7.540169717328785e-06,0.24129421214524455,0.6169503282833171,3.350429346408691,False
Season_Winter,0.6646305176000015,0.0328929910714796,8.697704176680635e-91,0.6001614397561039,0.729099595443899,0.1763039108978409,0.00016337829056611644,0.31908120190667455,1.0101798332933285,5.359923350075269,False
Season_Spring,0.366340272403623,0.029243404893131715,5.294870844656038e-36,0.30902425202776246,0.4236562927794835,0.08811540525209145,3.217416847791735e-05,0.19363725162637221,0.5390432931808737,3.0131718783809194,False
Humidity3pm_sq,0.22033597763541157,0.009834216375722373,3.515050335801804e-111,0.2010612677228217,0.23961068754800144,0.029109357557091986,3.753878100546268e-14,0.16328268521041242,0.2773892700604107,2.9600078384439406,False
Rainfall_log1p_sq,-0.07607770297520164,0.007197261424789025,4.088863100796659e-26,-0.09018407615510757,-0.06197132979529572,0.012900463454146202,3.6953244280064787e-09,-0.10136214672920338,-0.0507932592211999,1.7924127932485594,False
MaxTemp_sq,-0.09236468731650409,0.008363651621526313,2.3545100885225236e-28,-0.10875714327393568,-0.0759722313590725,0.06158958550347437,0.13369723909516948,-0.21307805672606406,0.028348682093055882,7.363958745598094,True
WindGustSpeed_sq,-0.027998460684719204,0.005538246624702317,4.2932357754780944e-07,-0.03885322460663626,-0.017143696762802148,0.01255157072437654,0.02570274053515687,-0.05259908725390454,-0.0033978341155338695,2.2663437681508434,False
